chi-number,sex,dob
4162785270,male,2006-02-17
1025086593,male,1950-07-22
6094223759,female,1960-03-16
1748543658,male,1952-09-17
9533662530,male,1973-03-05
8852198389,female,1978-05-26
6880284393,female,1979-12-21
7617837302,male,1989-06-05
4860223649,male,1977-12-19
1885104770,female,1959-05-06
2115126774,male,1981-12-15
7005167799,female,2005-09-24
8175940758,female,1997-03-08
9988802102,male,1989-09-18
9877864738,male,1994-05-28
4273576653,female,1980-09-20
5556818445,female,1967-10-13
6830016382,male,1968-03-19
6981415498,male,1999-04-29
8487180901,male,1963-11-08
1749038265,male,1992-03-08
3676746617,female,1972-05-18
2205118567,female,1965-10-08
1906025462,male,1983-03-10
5669768665,male,2009-07-20
6868940544,female,1967-06-12
9441054234,female,1957-04-19
4995118971,male,1987-08-04
4135334853,female,1998-01-12
4504869615,female,2010-12-18
3842189507,male,1999-08-05
9135814578,male,1997-03-27
9683401478,female,2001-07-03
4248902050,male,1963-08-19
9733171929,male,1986-04-04
4342180925,male,2007-01-30
9222067279,male,1989-07-18
4987435054,male,1961-10-27
3531293540,male,1953-04-19
3520016099,female,1978-09-01
8648970128,male,1956-05-17
2262665479,male,1998-05-30
6300085532,female,1959-04-28
6259781141,male,1975-10-12
9956612897,female,1969-12-30
4220039384,male,1966-06-01
8666803689,male,1965-05-28
9481259600,female,1966-08-04
6818781136,female,1953-07-25
2735607811,female,1979-07-24
2916864355,male,2001-05-28
8619401958,male,1955-10-21
9634128581,female,1976-03-19
2352362705,male,1956-10-24
7497453557,female,1998-01-02
6949980835,male,1956-07-13
2547528425,male,1961-08-09
3837944927,male,1977-01-25
9398576903,male,1972-05-22
7994915682,female,1997-03-30
9906303504,male,1988-08-11
8660666667,female,2005-01-15
7400170568,male,1978-03-01
3026795253,male,1965-08-19
1200071322,female,1966-10-06
9424206357,male,1967-05-28
8478909384,female,1980-06-13
8345711463,female,1985-03-04
5780185062,male,1987-10-13
9025873633,female,1978-08-07
2798050172,female,1970-12-23
5850665101,male,1999-12-16
9581545116,female,1977-08-10
7992151799,male,2004-09-13
6564368800,female,1989-07-17
2555593626,male,1971-06-04
1535642983,female,1950-10-21
6634341247,male,1982-07-09
3110703630,female,1965-01-29
3548358990,female,1962-07-11
4429441976,male,2007-11-19
7724313677,male,2003-04-04
2603565413,male,2001-03-27
7479009124,male,1995-03-10
8378869730,male,1954-07-27
1782049280,female,1979-06-18
7014530941,female,1986-11-17
5312391547,male,1981-05-25
8097939965,female,1968-04-01
3363537682,female,1963-09-23
4632283693,female,1981-10-14
4563989746,male,2005-04-16
1509318199,female,1994-05-14
6478793353,female,1965-05-24
6557572360,female,2008-06-09
7776352487,female,2000-01-10
5942212373,female,1987-06-03
3131677180,female,1980-12-18
8533945411,female,1980-09-16
5612297481,female,1967-09-30
